31-03-2026 18:56:47 | GET | Cafeteria-API/produtos
31-03-2026 18:56:50 | GET | Cafeteria-API/produtos
31-03-2026 18:56:52 | GET | Cafeteria-API/produtos
31-03-2026 18:56:55 | GET | Cafeteria-API/produtos
31-03-2026 18:56:57 | GET | Cafeteria-API/produtos
31-03-2026 18:57:01 | GET | Cafeteria-API/produtos
31-03-2026 18:57:04 | GET | Cafeteria-API/produtos
31-03-2026 18:57:08 | GET | Cafeteria-API/produtos
31-03-2026 18:57:32 | GET | Cafeteria-API/produtos
31-03-2026 18:57:36 | GET | Cafeteria-API/produtos
31-03-2026 18:57:41 | GET | Cafeteria-API/produtos
31-03-2026 18:57:44 | GET | Cafeteria-API/produtos
31-03-2026 18:57:45 | GET | Cafeteria-API/produtos
31-03-2026 18:57:48 | GET | Cafeteria-API/produtos
31-03-2026 18:57:50 | GET | Cafeteria-API/produtos
31-03-2026 18:57:55 | GET | Cafeteria-API/produtos
31-03-2026 18:58:03 | GET | Cafeteria-API/produtos
31-03-2026 18:58:09 | GET | Cafeteria-API/produtos
31-03-2026 18:58:14 | GET | Cafeteria-API/produtos
31-03-2026 18:58:19 | GET | Cafeteria-API/produtos
31-03-2026 18:58:20 | GET | Cafeteria-API/produtos
31-03-2026 18:58:26 | GET | Cafeteria-API/produtos
31-03-2026 18:59:13 | GET | Cafeteria-API/produtos
31-03-2026 18:59:17 | GET | Cafeteria-API/produtos
31-03-2026 18:59:19 | GET | Cafeteria-API/produtos
31-03-2026 18:59:27 | GET | Cafeteria-API/produtos
31-03-2026 18:59:31 | GET | Cafeteria-API/produtos
31-03-2026 18:59:34 | GET | Cafeteria-API/produtos
31-03-2026 18:59:37 | GET | Cafeteria-API/produtos
31-03-2026 18:59:40 | GET | Cafeteria-API/produtos
31-03-2026 18:59:46 | GET | Cafeteria-API/produtos
31-03-2026 18:59:49 | GET | Cafeteria-API/produtos
31-03-2026 18:59:52 | GET | Cafeteria-API/produtos
31-03-2026 18:59:55 | GET | Cafeteria-API/produtos
31-03-2026 19:00:08 | GET | Cafeteria-API/produtos
31-03-2026 19:00:11 | GET | Cafeteria-API/produtos
31-03-2026 19:00:16 | GET | Cafeteria-API/produtos
31-03-2026 19:19:24 | GET | Cafeteria-API/produtos
31-03-2026 19:21:30 | POST | Cafeteria-API/produtos
31-03-2026 19:21:31 | GET | Cafeteria-API/produtos
31-03-2026 19:22:10 | GET | Cafeteria-API/produtos
31-03-2026 19:22:12 | GET | Cafeteria-API/produtos
31-03-2026 19:23:53 | POST | Cafeteria-API/produtos
31-03-2026 19:25:05 | POST | Cafeteria-API/produtos
31-03-2026 19:26:38 | POST | Cafeteria-API/produtos
31-03-2026 19:27:11 | POST | Cafeteria-API/produtos
31-03-2026 19:27:12 | POST | Cafeteria-API/produtos
31-03-2026 19:27:12 | POST | Cafeteria-API/produtos
31-03-2026 19:27:12 | POST | Cafeteria-API/produtos
31-03-2026 19:27:38 | GET | Cafeteria-API/produtos
31-03-2026 19:27:48 | POST | Cafeteria-API/produtos
31-03-2026 19:28:43 | GET | Cafeteria-API/produtos
31-03-2026 19:28:50 | POST | Cafeteria-API/produtos
31-03-2026 19:40:51 | POST | Cafeteria-API/produtos
31-03-2026 19:40:52 | POST | Cafeteria-API/produtos
31-03-2026 19:40:53 | POST | Cafeteria-API/produtos
31-03-2026 19:40:53 | POST | Cafeteria-API/produtos
31-03-2026 19:40:53 | POST | Cafeteria-API/produtos
31-03-2026 19:40:53 | POST | Cafeteria-API/produtos
31-03-2026 19:40:54 | POST | Cafeteria-API/produtos
31-03-2026 19:40:54 | POST | Cafeteria-API/produtos
31-03-2026 19:40:54 | POST | Cafeteria-API/produtos
31-03-2026 19:40:54 | POST | Cafeteria-API/produtos
31-03-2026 19:40:54 | POST | Cafeteria-API/produtos
31-03-2026 19:40:55 | POST | Cafeteria-API/produtos
31-03-2026 19:40:55 | POST | Cafeteria-API/produtos
31-03-2026 19:40:55 | POST | Cafeteria-API/produtos
31-03-2026 19:40:55 | POST | Cafeteria-API/produtos
31-03-2026 19:40:55 | POST | Cafeteria-API/produtos
31-03-2026 19:40:55 | POST | Cafeteria-API/produtos
31-03-2026 19:40:55 | POST | Cafeteria-API/produtos
31-03-2026 19:40:56 | POST | Cafeteria-API/produtos
31-03-2026 19:40:56 | POST | Cafeteria-API/produtos
31-03-2026 19:41:38 | GET | Cafeteria-API/produtos
31-03-2026 19:41:41 | GET | Cafeteria-API/produtos
31-03-2026 19:42:33 | POST | Cafeteria-API/produtos
31-03-2026 19:44:12 | GET | Cafeteria-API/produtos
31-03-2026 19:44:13 | GET | Cafeteria-API/produtos
31-03-2026 19:44:15 | GET | Cafeteria-API/produtos
31-03-2026 19:47:00 | POST | Cafeteria-API/produtos
31-03-2026 19:50:24 | GET | Cafeteria-API/produtos
31-03-2026 19:52:30 | POST | Cafeteria-API/produtos
31-03-2026 19:54:59 | POST | Cafeteria-API/produtos
31-03-2026 19:55:02 | GET | Cafeteria-API/produtos
31-03-2026 19:55:06 | POST | Cafeteria-API/produtos
31-03-2026 19:56:34 | POST | Cafeteria-API/produtos
31-03-2026 19:57:11 | GET | Cafeteria-API/produtos
31-03-2026 19:57:16 | POST | Cafeteria-API/produtos
31-03-2026 19:59:32 | GET | Cafeteria-API/produtos
31-03-2026 19:59:37 | GET | Cafeteria-API/produtos
31-03-2026 19:59:44 | POST | Cafeteria-API/produtos
31-03-2026 19:59:44 | GET | Cafeteria-API/produtos
31-03-2026 20:00:18 | GET | Cafeteria-API/produtos
31-03-2026 20:00:27 | POST | Cafeteria-API/produtos
31-03-2026 20:00:27 | GET | Cafeteria-API/produtos
31-03-2026 20:00:53 | GET | Cafeteria-API/produtos
31-03-2026 20:01:15 | GET | Cafeteria-API/produtos
31-03-2026 20:01:32 | GET | Cafeteria-API/produtos
31-03-2026 20:01:35 | GET | Cafeteria-API/produtos
31-03-2026 20:01:37 | OPTIONS | cafeteria-api/categorias/5
31-03-2026 20:01:37 | DELETE | cafeteria-api/categorias/5
31-03-2026 20:01:37 | GET | Cafeteria-API/produtos
31-03-2026 20:01:39 | OPTIONS | cafeteria-api/categorias/4
31-03-2026 20:01:39 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:39 | GET | Cafeteria-API/produtos
31-03-2026 20:01:41 | GET | Cafeteria-API/produtos
31-03-2026 20:01:42 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:42 | GET | Cafeteria-API/produtos
31-03-2026 20:01:43 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:43 | GET | Cafeteria-API/produtos
31-03-2026 20:01:43 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:43 | GET | Cafeteria-API/produtos
31-03-2026 20:01:44 | OPTIONS | cafeteria-api/categorias/4
31-03-2026 20:01:44 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:44 | GET | Cafeteria-API/produtos
31-03-2026 20:01:44 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:44 | GET | Cafeteria-API/produtos
31-03-2026 20:01:45 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:45 | GET | Cafeteria-API/produtos
31-03-2026 20:01:46 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:46 | GET | Cafeteria-API/produtos
31-03-2026 20:01:46 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:46 | GET | Cafeteria-API/produtos
31-03-2026 20:01:46 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:46 | GET | Cafeteria-API/produtos
31-03-2026 20:01:46 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:46 | GET | Cafeteria-API/produtos
31-03-2026 20:01:46 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:46 | GET | Cafeteria-API/produtos
31-03-2026 20:01:46 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:46 | GET | Cafeteria-API/produtos
